                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.91161,                 1.0339,                  1.108,                0.81283,                0.69953,                0.81023,                0.53869,                 1.2794,                  1.364,                 1.2917,             0.00087636,             0.00087636,             0.00087636
                     35,                0.95238,                0.99181,                 1.1079,                0.75386,                0.75772,                0.84102,                0.56946,                 1.2081,                 1.3328,                 1.2209,             0.00086902,             0.00086902,             0.00086902
                     36,                0.93702,                0.95283,                 1.0772,                0.79721,                0.72508,                0.85546,                0.57008,                 1.0846,                 1.2394,                 1.1664,             0.00086169,             0.00086169,             0.00086169
                     37,                0.89388,                0.96965,                 1.0853,                0.74535,                0.75739,                 0.8803,                0.59335,                 1.0703,                 1.2459,                 1.1408,             0.00085436,             0.00085436,             0.00085436
                     38,                0.88114,                0.94206,                 1.0792,                 0.8193,                0.79116,                0.88421,                0.58292,                 1.1094,                 1.0948,                 1.1441,             0.00084703,             0.00084703,             0.00084703
                     39,                0.92913,                0.93741,                   1.09,                0.77875,                0.85683,                0.88657,                0.59117,                  1.083,                 1.0411,                 1.1373,             0.00083969,             0.00083969,             0.00083969
                     40,                0.90225,                0.93108,                 1.0532,                0.91653,                 0.8038,                 0.9094,                0.62644,                 1.0339,                0.93894,                 1.1313,             0.00083236,             0.00083236,             0.00083236
                     41,                0.89891,                0.91519,                 1.0418,                0.88605,                0.83905,                0.91074,                0.64097,                0.97986,                 0.9478,                 1.1063,             0.00082503,             0.00082503,             0.00082503
                     42,                0.87423,                0.89829,                  1.049,                0.83771,                0.83414,                0.91306,                0.66295,                0.98779,                0.99011,                 1.0973,              0.0008177,              0.0008177,              0.0008177
                     43,                0.85065,                0.86988,                 1.0447,                0.79686,                0.86516,                0.90723,                0.66402,                0.97526,                 0.9834,                 1.1022,             0.00081036,             0.00081036,             0.00081036
                     44,                0.84701,                0.87808,                 1.0175,                0.88623,                 0.8219,                0.88693,                0.66183,                0.96244,                0.95077,                 1.0967,             0.00080303,             0.00080303,             0.00080303
                     45,                0.85439,                0.88514,                 1.0303,                0.87116,                0.86526,                0.89524,                0.66366,                 0.9586,                0.96943,                 1.0953,              0.0007957,              0.0007957,              0.0007957
                     46,                0.82614,                0.87041,                 1.0368,                0.82229,                0.87931,                0.90653,                0.67256,                0.92475,                0.94125,                 1.0925,             0.00078837,             0.00078837,             0.00078837
                     47,                0.88679,                0.86879,                  1.066,                0.80315,                0.90732,                0.90865,                 0.6717,                 0.9442,                0.89859,                 1.0966,             0.00078103,             0.00078103,             0.00078103
                     48,                0.84713,                0.83065,                 1.0305,                0.82013,                0.85296,                0.90395,                0.65578,                0.97316,                0.95038,                 1.1082,              0.0007737,              0.0007737,              0.0007737
                     49,                0.84158,                0.82477,                  1.047,                0.87216,                 0.7873,                0.89255,                0.63903,                0.98479,                0.98707,                 1.1282,             0.00076637,             0.00076637,             0.00076637
                     50,                0.81265,                0.78505,                 1.0245,                 0.8476,                0.81605,                0.89928,                 0.6573,                0.94118,                0.94121,                 1.0992,             0.00075904,             0.00075904,             0.00075904
                     51,                 0.7848,                0.76413,                 1.0158,                0.84171,                0.85822,                0.89784,                0.66384,                0.93578,                 0.9332,                 1.0902,              0.0007517,              0.0007517,              0.0007517
                     52,                0.79687,                0.77885,                  1.007,                0.78817,                0.88614,                0.88764,                0.64114,                0.95318,                0.99571,                 1.0984,             0.00074437,             0.00074437,             0.00074437
                     53,                0.81072,                0.78869,                 1.0223,                0.81981,                0.85588,                0.90164,                0.65453,                 0.9321,                0.97667,                 1.0871,             0.00073704,             0.00073704,             0.00073704
                     54,                0.82092,                0.80426,                 1.0299,                0.82535,                0.86651,                0.89656,                0.64492,                0.94799,                0.93964,                 1.0977,              0.0007297,              0.0007297,              0.0007297
                     55,                0.82984,                0.77104,                 1.0185,                0.82671,                0.88134,                0.90457,                0.64477,                0.96516,                0.88955,                 1.0981,             0.00072237,             0.00072237,             0.00072237
                     56,                0.80147,                0.76057,                  1.001,                0.87362,                0.85329,                0.92624,                0.68149,                0.93111,                0.83526,                  1.069,             0.00071504,             0.00071504,             0.00071504
                     57,                0.82788,                0.82952,                 1.0461,                0.90408,                0.83436,                0.93187,                0.68423,                0.91449,                0.81767,                 1.0571,             0.00070771,             0.00070771,             0.00070771
                     58,                0.75975,                0.73371,                0.98653,                0.90425,                0.90257,                0.94391,                0.70632,                 0.9072,                0.78751,                 1.0677,             0.00070037,             0.00070037,             0.00070037
                     59,                0.76761,                0.75276,                 1.0109,                0.90166,                0.92197,                0.94704,                0.70509,                0.91326,                0.80889,                 1.0659,             0.00069304,             0.00069304,             0.00069304
                     60,                0.74066,                0.72084,                0.99015,                0.91756,                0.89905,                0.94949,                0.67943,                0.96353,                0.80555,                 1.0885,             0.00068571,             0.00068571,             0.00068571
                     61,                0.76392,                0.74008,                0.99049,                 0.9088,                0.88808,                0.94226,                0.66662,                 0.9668,                 0.8318,                 1.0931,             0.00067838,             0.00067838,             0.00067838
                     62,                0.84163,                0.80322,                 1.0506,                0.87092,                0.91146,                0.94187,                 0.6836,                0.94883,                0.81525,                 1.0695,             0.00067104,             0.00067104,             0.00067104
                     63,                0.73658,                0.71249,                0.98027,                0.88351,                0.90715,                0.93828,                0.68335,                0.94038,                0.80048,                 1.0708,             0.00066371,             0.00066371,             0.00066371
                     64,                0.76701,                0.74075,                 1.0144,                 0.8465,                0.88034,                 0.9229,                0.67159,                0.93938,                0.85527,                  1.087,             0.00065638,             0.00065638,             0.00065638
                     65,                0.73761,                0.74342,                 1.0136,                0.86212,                0.86625,                0.91907,                0.66695,                0.94856,                0.84279,                 1.0718,             0.00064905,             0.00064905,             0.00064905
                     66,                 0.7362,                0.72156,                0.98747,                 0.8372,                0.88604,                0.91829,                 0.6761,                0.95804,                0.81027,                  1.055,             0.00064171,             0.00064171,             0.00064171
                     67,                0.74073,                0.72867,                0.96753,                 0.8104,                0.87775,                0.92631,                0.68232,                0.93842,                0.81727,                 1.0503,             0.00063438,             0.00063438,             0.00063438
                     68,                0.78193,                0.75416,                 1.0192,                0.78578,                0.87206,                0.91642,                0.68846,                0.90533,                0.81673,                 1.0439,             0.00062705,             0.00062705,             0.00062705
                     69,                0.77301,                0.74605,                0.99106,                0.81393,                0.87816,                0.91991,                0.67932,                0.91572,                0.82171,                  1.045,             0.00061972,             0.00061972,             0.00061972
